script,nominal_waves,period_steps,actual_cycles_after_start,step,schedule_ratio,wsd_ratio,block_lr,gamma_lr
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,173,1.0,0.174,0.00031319999999999997,0.00031319999999999997
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,174,1.0,0.175,0.00031499999999999996,0.00031499999999999996
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,175,1.0,0.176,0.00031679999999999995,0.00031679999999999995
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,176,1.0,0.177,0.0003186,0.0003186
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,177,1.0,0.178,0.0003204,0.0003204
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,178,1.0,0.179,0.00032219999999999997,0.00032219999999999997
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,179,1.0,0.18,0.00032399999999999996,0.00032399999999999996
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,180,1.0,0.181,0.0003258,0.0003258
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,181,1.0,0.182,0.0003276,0.0003276
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,182,1.0,0.183,0.0003294,0.0003294
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,183,1.0,0.184,0.0003312,0.0003312
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,184,1.0,0.185,0.00033299999999999996,0.00033299999999999996
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,185,1.0,0.186,0.0003348,0.0003348
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,186,1.0,0.187,0.0003366,0.0003366
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,187,1.0,0.188,0.0003384,0.0003384
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,188,1.0,0.189,0.0003402,0.0003402
